COD_DEF,area_pa,LEYENDA,Cid_Cob2,TIPO,area_ha,HUMEDALES,Cod_Hum,Ambiente,SubambGeom,observacio,AGRUP,concate,OBSERV,TIPO_Code
311123,0.34,3.1.1.1.2.3. Palmares,15.0,Palmares de Canangucha,91176.47491335215,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Palmares de Canangucha*Humedales Sistema Interior,,11
223200,0.32,2.2.3.2. Palma de aceite,2.0,Humedales transformados,86976.89400665135,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
331000,0.28,3.3.1. Zonas arenosas naturales,5.0,Playas,75300.44894666236,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Playas*Humedales Sistema Interior,,14
221210,0.26,2.2.1.2.1. Caña de Azucar,2.0,Humedales transformados,70152.26807005279,Humedal Permanente Bajo Dosel,2.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
321113,0.21,3.2.1.1.1.3.  Herbazal denso de tierra firme con arbustos,5.0,Herbazales inundables,57823.71003400501,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Escudo Guayanés residual,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Herbazales inundables*Humedales Sistema Interior,,8
990000,0.2,9.9. Nubes,0.0,Sin información,55178.35477468538,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Sin información*Humedales Sistema Interior,Nubes,0
245000,0.2,2.4.5. Mosaico de cultivos con espacios naturales,4.0,Humedales transformados,54054.45167920394,Humedal Permanente Bajo Dosel,2.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
321122,0.17,3.2.1.1.2.2. Herbazal denso inundable arbolado,17.0,Bajos y/o Esteros,44584.132499742576,Humedal Temporal,3.0,Piedemonte y llanuras aluviales,llanura aluvial en Altillanura,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Bajos y/o Esteros*Humedales Sistema Interior,,19
221300,0.16,2.2.1.3. Platano y banano,2.0,Humedales transformados,43653.80043797842,Humedal Temporal,3.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
241000,0.14,2.4.1. Mosaico de cultivos,4.0,Humedales transformados,37099.71301889291,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
514000,0.12,5.1.4. Cuerpos de agua artificiales,27.0,"Reservorios de agua (represas, embalses) y/o Humedales alrededor de hidroeléctricas",32130.018233944946,Potencial Medio,4.0,Artificial,no aplica,,Humedales Transformados y Artificiales,"Artificial*Reservorios de agua (represas, embalses) y/o Humedales alrededor de hidroeléctricas*Humedales Transformados y Artificiales",Separar en embalse u otros cuerpos artificiales,33
333000,0.11,3.3.3. Tierras desnudas y degradadas,5.0,Humedales transformados,29876.73146417072,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
421000,0.09,4.2.1. Pantanos costeros,21.0,Lagunas estuarinas,25472.001638703863,Humedal Temporal,3.0,Mar y costas,Planicie deltaica actual,,Humedales Sistema Costero,Mar y costas*Lagunas estuarinas*Humedales Sistema Costero,,61
211000,0.09,2.1.1. Otros cultivos transitorios,2.0,Humedales transformados,24369.7644389416,Potencial Medio,4.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
