COD_DEF,area_pa,LEYENDA,Cid_Cob2,TIPO,area_ha,HUMEDALES,Cod_Hum,Ambiente,SubambGeom,observacio,AGRUP,concate,OBSERV,TIPO_Code
514100,0.01,5.1.4.1. Embalses,29.0,"Reservorios de agua (represas, embalses) y/o Humedales alrededor de hidroeléctricas",2120.386263667768,Potencial Medio,4.0,Montaña,Altiplano,,Humedales Transformados y Artificiales,"Montaña*Reservorios de agua (represas, embalses) y/o Humedales alrededor de hidroeléctricas*Humedales Transformados y Artificiales",,33
513000,0.01,5.1.3. Canales,26.0,Canales de riego,2052.1357530289843,Humedal Permanente Bajo Dosel,2.0,Mar y costas,Planicie deltaica actual,,Humedales Transformados y Artificiales,Mar y costas*Canales de riego*Humedales Transformados y Artificiales,,53
223100,0.01,2.2.3.1. Otros cultivos permanentes arboreos,2.0,Humedales transformados,1886.7539566149576,Potencial Medio,4.0,Montaña,Valle intramontano,,Humedales Transformados y Artificiales,Montaña*Humedales transformados*Humedales Transformados y Artificiales,,1
122000,0.01,"1.2.2. Red vial, ferroviaria y terrenos asociados",1.0,Humedales transformados,1712.4913976945827,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
322220,0.01,3.2.2.2.2. Arbustal abierto mesofilo,5.0,Arbustales inundables,1698.940556483942,Potencial Medio,4.0,Mar y costas,Planicie fluvial,,Humedales Sistema Costero,Mar y costas*Arbustales inundables*Humedales Sistema Costero,,5
312110,0.01,3.1.2.1.1. Bosque abierto alto de tierra firme,5.0,Bosques inundables de interfluvios,1435.9051035218276,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Bosques inundables de interfluvios*Humedales Sistema Interior,,16
215100,0.01,2.1.5.1. Papa,2.0,Humedales transformados,1416.7761166656064,Potencial Medio,4.0,Montaña,Altiplano,,Humedales Transformados y Artificiales,Montaña*Humedales transformados*Humedales Transformados y Artificiales,,1
124000,0.01,1.2.4. Aeropuertos,1.0,Humedales transformados,1390.3200926495092,Potencial Medio,4.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
331200,0.0,3.3.1.2. Arenales,5.0,Humedales transformados,1121.3137224009724,Humedal Permanente Bajo Dosel,2.0,Mar y costas,Planicie deltaica actual,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
212200,0.0,2.1.2.2. Maiz,2.0,Humedales transformados,1049.1480922681026,Humedal Temporal,3.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
